,v1_strategy,v2_strategy,benchmark
2021-01-01,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.02615547249995234
2021-01-03,0.0,0.0,0.11016608090023045
2021-01-04,0.0,0.0,0.026837255495091885
2021-01-05,0.0,0.0,0.041641786919980835
2021-01-06,0.0,0.0,0.08532877568813982
2021-01-07,0.0,0.0,0.04103034009107943
2021-01-08,0.0,0.0,0.06132051068766963
2021-01-09,0.0,0.0,0.06935400191257979
2021-01-10,0.0,0.0,-0.0431396458372671
2021-01-11,0.0,0.0,-0.10122191013797432
2021-01-12,0.0,0.0,0.022515673947388515
2021-01-13,0.0,0.0,0.10180730536990934
2021-01-14,0.0,0.0,0.0629855177895601
2021-01-15,0.0,0.0,-0.017250171720586585
2021-01-16,0.0,0.0,0.10403202762067727
2021-01-17,0.0,0.0,0.031272732080347775
2021-01-18,0.0,0.0,-0.0009570979665678549
2021-01-19,0.0,0.0,-0.01133722264032546
2021-01-20,0.0,0.0,0.020390773783216746
2021-01-21,0.0,0.0,-0.13670090724616024
2021-01-22,0.0,0.0,0.09202826058950254
2021-01-23,0.0,0.0,0.02428956733550784
2021-01-24,0.0,0.0,0.019110504029811074
2021-01-25,0.0,0.0,-0.021482284536342957
2021-01-26,0.0,0.0,0.0073271233413746755
2021-01-27,0.0,0.0,-0.07483316242344623
2021-01-28,0.0,0.0,0.07382501493888116
2021-01-29,0.0,0.0,0.010721935005930007
2021-01-30,0.0,0.0,0.07775537704498564
2021-01-31,0.0,0.0,0.002319234019536454
2021-02-01,0.0,0.0,0.02447115586227209
2021-02-02,0.0,0.0,0.05455082774217464
2021-02-03,0.0,0.0,0.08066941354194226
2021-02-04,0.0,0.0,0.017226301029642642
2021-02-05,0.0,0.0,0.09607267924833439
2021-02-06,0.0,0.0,0.007021901301686973
2021-02-07,0.0,0.0,0.027794535214181997
2021-02-08,0.0,0.0,0.12576391532309056
2021-02-09,0.0,0.0,0.06676544627731008
2021-02-10,0.0,0.0,0.14483357028378363
2021-02-11,0.0,0.0,0.008070092146218864
2021-02-12,0.0,0.0,0.06190188821843529
2021-02-13,0.0,0.0,0.00429197697982181
2021-02-14,0.0,0.0,-0.029416713316631402
2021-02-15,0.0,0.0,-0.016544178543944497
2021-02-16,0.0,0.0,-0.003982886266019515
2021-02-17,0.0,0.0,0.06206336351863885
2021-02-18,0.0,0.0,0.03862540254778287
2021-02-19,0.0,0.0,0.1321202756180625
2021-02-20,0.0,0.0,-0.024456471539909222
2021-02-21,0.0,0.0,0.03394141726943613
2021-02-22,0.0,0.0,-0.020071223400190297
2021-02-23,0.0,0.0,-0.117366838019847
2021-02-24,0.0,0.0,0.05715819254698487
2021-02-25,0.0,0.0,-0.07983066781365765
2021-02-26,0.0,0.0,-0.0017793879447296052
2021-02-27,0.0,0.0,0.01985079528114483
2021-02-28,0.0,0.0,-0.0369788665278181
2021-03-01,0.0,0.0,0.10189488217422149
2021-03-02,0.0,0.0,-0.021829419062881036
2021-03-03,0.0,0.0,0.028304381749373587
2021-03-04,0.0,0.0,-0.03971883981595942
2021-03-05,0.0,0.0,-0.015806799796844708
2021-03-06,0.0,0.0,0.013355266558627999
2021-03-07,0.0,0.0,0.03961386999115248
2021-03-08,0.0,0.0,0.013390481272428676
2021-03-09,0.0,0.0,0.09645984607451377
2021-03-10,0.0,0.0,-0.041550921560601445
2021-03-11,0.0,0.0,0.020105358504547876
2021-03-12,0.0,0.0,-0.03900003587102139
2021-03-13,0.0,0.0,0.05669514932913789
2021-03-14,0.0,0.0,-0.03991677808291767
2021-03-15,0.0,0.0,-0.0357893175369659
2021-03-16,0.0,0.0,0.044379702139585545
2021-03-17,0.0,0.0,0.04079962719821569
2021-03-18,0.0,0.0,-0.02417644354400739
2021-03-19,0.0,0.0,0.0310402582053782
2021-03-20,0.0,0.0,-0.007886537514709547
2021-03-21,0.0,0.0,-0.014103349627553762
2021-03-22,0.0,0.0,-0.035890456763067985
2021-03-23,0.0,0.0,-0.010218535234286709
2021-03-24,0.0,0.0,-0.06377241081777049
2021-03-25,0.0,0.0,-0.005938767517510779
2021-03-26,0.0,0.0,0.08770197454979757
2021-03-27,0.0,0.0,0.00811661456296492
2021-03-28,0.0,0.0,0.011128306048726866
2021-03-29,0.0,0.0,0.041062263104696524
2021-03-30,0.0,0.0,0.019597473751476205
2021-03-31,-0.0005,0.0,0.012965049817347987
2021-04-01,0.028945208808127607,0.0,0.020018380678821147
2021-04-02,0.018478170191910854,0.0,0.04465992967621474
2021-04-03,0.024058046139321054,0.0,-0.02385865596113932
2021-04-04,0.056849113734690995,0.0,0.05104104777431094
2021-04-05,0.006788684384937738,0.0,0.06767274106707796
2021-04-06,0.07234550655441599,0.0,0.05056988995058839
2021-04-07,-0.024878294936670337,0.0,-0.06790444663179977
2021-04-08,0.05815517947963444,0.0,0.05953143192535085
2021-04-09,0.03285179746389537,0.0,0.0014873885852898726
2021-04-10,0.00722879082870013,0.0,0.0613644074851747
2021-04-11,0.06392587920191335,0.0,0.024307434426827926
2021-04-12,0.06645063009025994,0.0,0.025431022962960632
2021-04-13,-0.015714786676395656,0.0,0.052742606708159126
2021-04-14,-0.001363511946858612,0.0,0.04252293073621861
2021-04-15,0.01868356114420792,0.0,0.0096767751929389
2021-04-16,-0.06346206267842565,0.0,-0.03881483144739514
2021-04-17,-0.004789686443235667,0.0,-0.013507506543701397
2021-04-18,0.04410893500552848,0.0,-0.04923909405777868
2021-04-19,-0.01006320263680164,0.0,-0.04271392979179798
2021-04-20,0.07397831934520356,0.0,0.05034069212177426
2021-04-21,-0.03107643797500977,0.0,-0.03565532072305464
2021-04-22,0.02435230907319004,0.0,-0.020917490369364647
2021-04-23,-0.0002384131100976808,0.0,-0.011829858066354294
2021-04-24,-0.0008774207460980482,0.0,-0.05468732289234964
2021-04-25,0.05610261153538865,0.0,0.020483937094749938
2021-04-26,0.04025499498717455,0.0,0.1214141500222218
2021-04-27,0.035237385624974686,0.0,0.038613906401614544
2021-04-28,0.016140910566758593,0.0,0.002242871413931547
2021-04-29,-0.002526146145246969,0.0,0.004283882895640812
2021-04-30,0.028427781863583003,0.0,0.06096517787789782
2021-05-01,0.0607442085506877,0.0,0.03249986214635368
2021-05-02,-0.03398245985882471,0.0,-0.02328946003358153
2021-05-03,0.020487981595085063,0.0,0.058433510132497694
2021-05-04,-0.09011478315300539,0.0,-0.05483752647307445
2021-05-05,0.09236185688775947,0.0,0.11624604998714147
2021-05-06,-0.023170793644066674,0.0,0.007091229793165977
2021-05-07,-0.010815244766371263,0.0,-0.002615118038656628
2021-05-08,0.026045759842013405,0.0,0.01936086164529134
2021-05-09,-0.006512735252128884,0.0,0.02905770002673827
2021-05-10,-0.057984358252619606,0.0,-0.06640256479867465
2021-05-11,0.05587375196920415,0.0,0.05282092604539597
